Target,Model,R2,RMSE
Heating,Linear Regression,0.9121846294352439,3.025426853510372
Heating,Random Forest,0.9976889803753333,0.49079847532018817
Cooling,Linear Regression,0.8932255268607289,3.1453819558114207
Cooling,Random Forest,0.9683338660414131,1.7129204519023806
